Reference,Qty,Value,DNP,Supplier,Price ea.,Order code,Already got,Notes,Datasheet
A1,1,TPS63060 Module,,Pi hut,£9.60,Adafruit Verta,No,Ada Fruit Module,https://www.adafruit.com/product/2190
A2,1,RaspberryPi_Pico-2,,Pi hut,,,Yes,RPI Pico 2 module,https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf
A3,1,UDA1334A Module,,Pi Hut,,,Yes,Ada Fruit Module,https://learn.adafruit.com/adafruit-i2s-stereo-decoder-uda1334a/downloads
A4,1,PAM8302A module,,Pi Hut,£3.80,,No,Ada Fruit Module,https://learn.adafruit.com/adafruit-pam8302-mono-2-5w-class-d-audio-amplifier/downloads
A5,1,ADS1015 module,,,,,Yes,Ada Fruit Module,https://learn.adafruit.com/adafruit-4-channel-adc-breakouts/downloads
BT1,1,9 V,,,,,Yes,Battery clip,~
C1,1,10u,,,,,Yes,,~
"C2,C3,C4,C5,C6,C7",6,1n,,,,,Yes,,~
"D1,D2,D3",3,1N4001,,,,,Yes,,http://www.vishay.com/docs/88503/1n4001.pdf
"D4,D5,D6",3,LED,,,,,Yes,,~
D7,1,1N4148WT,,,,,Yes,,https://www.diodes.com/assets/Datasheets/ds30396.pdf
"FB1,FB2,FB3,FB4,FB5,FB6",6,FerriteBead,,,,,No,,~
J1,1,DC Power jack,,,,,No,Chassis mount,
J2,1,AudioJack2_SwitchT,,,,,No,Chassis mount 3.5mm,~
"J3,J5",2,AudioJack2,,,,,No,Chassis mount 3.5mm,~
J4,1,AudioJack3,,,,,No,Chassis mount 3.5 mm,~
J6,1,AudioJack2_Switch,,,,,No,Chassis mount 3.5 mm,~
J7,1,Phono Socket,,,,,No,Chassis mount,~
J8,1,Conn_01x03_Pin,,,,,Yes,,~
JP1,1,short to select fc/BW mode,,,,,Yes,,~
"R1,R2,R3,R4,R6,R7,R9,R11",8,10k,,,,,Yes,0.125 W,~
"RV1,RV2,RV3",3,10k,,,,,No,Potentiometer,
RV4,1,10k,,,,,No,Trim-pot,
R5,1,560,,,,,Yes,,~
"R8,R10,R12",3,330,,,,,Yes,,~
"SW1,SW2,SW3,SW4,SW5,SW6",6,SW_SPST,,,,,No,Chassis mount,~
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP13",12,TestPoint,,,,,Yes,,~
"TR1,TR2,TR3,TR4",4,2N2222,,,,,No,,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs
U5,1,LM4040LP-3,,,,,No,,http://www.ti.com/lit/ds/symlink/lm4040-n.pdf
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Misc.,,,,,,,,,
Veroboard,1,,,,,,Yes,,
9 V PP3 Battery,1,,,,,,Yes,,
Velcro coins for battery,1,,,,,,No,,
Enclosure,1,,,,,,No,,
Knobs for pots,3,,,,,,No,,
0.1 in. pin strip,5,,,,,,No,,
